Scores List:
Score: 168
Score: 130
Score: 143
Score: 130
Score: 183
Score: 113
Score: 212
Score: 145
Score: 191
Score: 165
Score: 172
Score: 107
Score: 116
Score: 107
Score: 158
Score: 115
Score: 105
Score: 192
Score: 122
Score: 149
Score: 118
Score: 117
Score: 263
Score: 196
Score: 169
Score: 111
Score: 241
Score: 100
Score: 156
Score: 153
Score: 128
Score: 323
Score: 124
Score: 233
Score: 182
Score: 190
Score: 123
Score: 105
Score: 155
Score: 187
Score: 169
Score: 203
Score: 166
Score: 121
Score: 149
Score: 117
Score: 237
Score: 135
Score: 148
Score: 114
Score: 148
Score: 125
Score: 152
Score: 133
Score: 127
Score: 125
Score: 125
Score: 237
Score: 141
Score: 155
Score: 158
Score: 64
Score: 44
Score: 71
Score: 9
Score: 223
Score: 8
